ship_1_x,ship_1_y,ship_1_u,ship_1_psi,ship_1_wp,ship_1_vir_wp,colav_log,ship_2_x,ship_2_y,ship_2_u,ship_2_psi,ship_2_wp,ship_2_x_pred,ship_2_y_pred,time
275000.0,7044940.0,10.0,1.5707963267948966,"[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]","[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]",0.0,275000.0,7058000.0,10.0,4.71,"[[275000, 7058000.0, 10.0], [275000, 7044000.0, 10.0]]",274999.86066533887,7046010.040278096,0
275000.0,7044940.0,10.0,1.5707963267948966,"[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]","[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]",0.0,275000.0,7057990.0,10.0,-1.57,"[[275000, 7058000.0, 10.0], [275000, 7044000.0, 10.0]]",274999.87837451213,7046000.037390714,1
275000.0,7044950.0,10.0,1.57,"[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]","[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]",0.0,275000.0,7057970.0,10.0,-1.57,"[[275000, 7058000.0, 10.0], [275000, 7044000.0, 10.0]]",274999.8794177375,7045980.037390714,2
275000.0,7044960.0,10.0,1.57,"[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]","[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]",0.0,275000.0,7057960.0,10.0,-1.57,"[[275000, 7058000.0, 10.0], [275000, 7044000.0, 10.0]]",274999.8799404715,7045970.037390714,3
275000.0,7044970.0,10.0,1.57,"[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]","[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]",0.0,275000.0,7057960.0,10.0,-1.57,"[[275000, 7058000.0, 10.0], [275000, 7044000.0, 10.0]]",274999.8799404715,7045970.037390714,4
275000.0,7044970.0,10.0,1.57,"[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]","[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]",1.0,275000.0,7057950.0,10.0,-1.57,"[[275000, 7058000.0, 10.0], [275000, 7044000.0, 10.0]]",274999.8804639672,7045960.037390714,5
275000.0,7044990.0,10.0,1.57,"[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]","[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]",0.0,275000.0,7057940.0,10.0,-1.57,"[[275000, 7058000.0, 10.0], [275000, 7044000.0, 10.0]]",274999.880988215,7045950.037390714,6
275000.0,7045000.0,10.0,1.57,"[[274962, 7045367, 10.0], [275512, 7051717, 10.0], [274962, 7052267, 10.0], [274962, 7057017, 10.0]]","[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]",0.0,275000.0,7057930.0,10.0,-1.57,"[[275000, 7058000.0, 10.0], [275000, 7044000.0, 10.0]]",274999.8815132115,7045940.037390714,7
275000.0,7045010.0,10.0,1.57,"[[274962, 7045367, 10.0], [275512, 7051717, 10.0], [274962, 7052267, 10.0], [274962, 7057017, 10.0]]","[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]",0.0,275000.0,7057920.0,10.0,-1.57,"[[275000, 7058000.0, 10.0], [275000, 7044000.0, 10.0]]",274999.88203896437,7045930.037390714,8
275000.0,7045020.0,10.0,1.57,"[[274962, 7045367, 10.0], [275512, 7051717, 10.0], [274962, 7052267, 10.0], [274962, 7057017, 10.0]]","[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]",0.0,275000.0,7057910.0,10.0,-1.57,"[[275000, 7058000.0, 10.0], [275000, 7044000.0, 10.0]]",274999.88256548165,7045920.037390714,9
275000.0,7045020.0,10.0,1.57,"[[274962, 7045367, 10.0], [275512, 7051717, 10.0], [274962, 7052267, 10.0], [274962, 7057017, 10.0]]","[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]",0.0,275000.0,7057910.0,10.0,-1.57,"[[275000, 7058000.0, 10.0], [275000, 7044000.0, 10.0]]",274999.88256548165,7045920.037390714,10
