ship_1_x,ship_1_y,ship_1_u,ship_1_psi,ship_1_wp,ship_1_x_pred,ship_1_y_pred,colav_log,ship_2_x,ship_2_y,ship_2_u,ship_2_psi,ship_2_wp,ship_2_x_pred,ship_2_y_pred,ship_3_x,ship_3_y,ship_3_u,ship_3_psi,ship_3_wp,ship_3_x_pred,ship_3_y_pred,ship_4_x,ship_4_y,ship_4_u,ship_4_psi,ship_4_wp,ship_4_x_pred,ship_4_y_pred,time
275000.0,7044500.0,10.0,1.5707963267948966,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",275000.0,7044500.0,0.0,279992.34,7048006.43,10.0,2.44,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270629.7211627567,7055496.3996422365,273006.18,7046019.02,10.0,1.26,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276797.9042260117,7057393.649691284,275000.0,7058000.0,10.0,4.71,"[[275000, 7058000, 10.0], [275000, 7046000, 10.0]]",274999.9805757787,7046240.040287354,0
275000.0,7044500.0,10.0,1.57,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",275000.0,7044500.0,0.0,279992.34,7048006.43,10.0,2.44,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270629.7211627567,7055496.3996422365,273009.27,7046028.53,10.0,1.26,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276801.0623476235,7057403.136986209,275000.0,7057980.0,10.0,-1.57,"[[275000, 7058000, 10.0], [275000, 7046000, 10.0]]",274999.98294352577,7046240.037397869,1
275000.0,7044510.0,10.0,1.57,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",275000.0,7044500.0,0.0,279977.02,7048019.28,10.0,2.44,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270614.12735738116,7055508.907252849,273009.27,7046028.53,10.0,1.26,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276801.0623476235,7057403.136986209,275000.0,7057970.0,10.0,-1.57,"[[275000, 7058000, 10.0], [275000, 7046000, 10.0]]",274999.9829292171,7046240.037397844,2
275000.0,7044520.0,10.0,1.57,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",275000.0,7044500.0,0.0,279969.36,7048025.71,10.0,2.44,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270606.32784677047,7055515.162787287,273012.36,7046038.04,10.0,1.26,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276804.22057730483,7057412.624244249,275000.0,7057960.0,10.0,-1.57,"[[275000, 7058000, 10.0], [275000, 7046000, 10.0]]",274999.9829148831,7046240.037397819,3
275000.0,7044530.0,10.0,1.57,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",275000.0,7044500.0,0.0,279969.36,7048025.71,10.0,2.44,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270606.32784677047,7055515.162787287,273015.45,7046047.55,10.0,1.26,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276807.37891546485,7057422.111465944,275000.0,7057960.0,10.0,-1.57,"[[275000, 7058000, 10.0], [275000, 7046000, 10.0]]",274999.9829148831,7046240.037397819,4
275000.0,7044540.0,10.0,1.57,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",275000.0,7044500.0,0.0,279961.69,7048032.14,10.0,2.44,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270598.5217852735,7055521.422628059,273021.64,7046066.57,10.0,1.26,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276813.6973406271,7057441.088658428,275000.0,7057950.0,10.0,-1.57,"[[275000, 7058000, 10.0], [275000, 7046000, 10.0]]",274999.98290052556,7046240.0373977935,5
275000.0,7044550.0,10.0,1.57,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",275000.0,7044500.0,0.0,279946.36,7048044.97,10.0,2.45,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270582.9007543428,7055533.916747391,273024.74,7046076.08,10.0,1.26,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276816.8574146447,7057450.5786340665,275000.0,7057940.0,10.0,-1.57,"[[275000, 7058000, 10.0], [275000, 7046000, 10.0]]",274999.98288614413,7046240.037397768,6
275000.0,7044560.0,10.0,1.57,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",275000.0,7044500.0,0.0,279931.01,7048057.8,10.0,2.45,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270567.29499416123,7055546.426873254,273030.93,7046095.1,10.0,1.26,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276823.1764481333,7057469.5556217935,275000.0,7057920.0,10.0,-1.57,"[[275000, 7058000, 10.0], [275000, 7046000, 10.0]]",274999.9828573073,7046240.037397718,7
275000.0,7044570.0,10.0,1.57,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",275000.0,7044500.0,1.0,279931.01,7048057.8,10.0,2.45,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270567.29499416123,7055546.426873254,273030.93,7046095.1,10.0,1.26,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276823.1764481333,7057469.5556217935,275000.0,7057910.0,10.0,-1.57,"[[275000, 7058000, 10.0], [275000, 7046000, 10.0]]",274999.9828428533,7046240.037397693,8
275000.0,7044580.0,10.0,1.57,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",275000.0,7044500.0,0.0,279915.64,7048070.6,10.0,2.45,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270551.68961549137,7055558.932470255,273034.04,7046104.6,10.0,1.26,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276826.33534378075,7057479.039322394,275000.0,7057890.0,10.0,-1.57,"[[275000, 7058000, 10.0], [275000, 7046000, 10.0]]",274999.9828138711,7046240.037398721,9
275000.0,7044590.0,10.0,1.57,"[[274962, 7044967, 10.0], [275512, 7051517, 10.0], [274962, 7052067, 10.0], [274962, 7056617, 10.0]]",275000.0,7044500.0,0.0,279915.64,7048070.6,10.0,2.45,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270551.68961549137,7055558.932470255,273037.14,7046114.11,10.0,1.25,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276829.50588157057,7057488.518505779,275000.0,7057890.0,10.0,-1.57,"[[275000, 7058000, 10.0], [275000, 7046000, 10.0]]",274999.9828138711,7046240.037398721,10
275000.0,7044600.0,10.0,1.57,"[[274962, 7044967, 10.0], [275512, 7051517, 10.0], [274962, 7052067, 10.0], [274962, 7056617, 10.0]]",275000.0,7044500.0,0.0,279900.25,7048083.37,10.0,2.45,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270536.08471304836,7055571.433661171,273040.25,7046123.61,10.0,1.25,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276832.66472527036,7057498.002224141,275000.0,7057870.0,10.0,-1.57,"[[275000, 7058000, 10.0], [275000, 7046000, 10.0]]",274999.9827847897,7046240.037398671,11
275000.0,7044610.0,10.0,1.57,"[[274962, 7044967, 10.0], [275512, 7051517, 10.0], [274962, 7052067, 10.0], [274962, 7056617, 10.0]]",275000.0,7044500.0,0.0,279900.25,7048083.37,10.0,2.45,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270536.08471304836,7055571.433661171,273040.25,7046123.61,10.0,1.25,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276832.66472527036,7057498.002224141,275000.0,7057870.0,10.0,-1.57,"[[275000, 7058000, 10.0], [275000, 7046000, 10.0]]",274999.9827847897,7046240.037398671,12
275000.0,7044620.0,10.0,1.57,"[[274962, 7044967, 10.0], [275512, 7051517, 10.0], [274962, 7052067, 10.0], [274962, 7056617, 10.0]]",275000.0,7044500.0,0.0,279884.84,7048096.11,10.0,2.45,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270520.4803819506,7055583.930569932,273043.36,7046133.12,10.0,1.25,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276835.8265224292,7057507.494957849,275000.0,7057860.0,10.0,-1.57,"[[275000, 7058000, 10.0], [275000, 7046000, 10.0]]",274999.9827702127,7046240.037398645,13
275000.0,7044620.0,10.0,1.57,"[[274962, 7044967, 10.0], [275512, 7051517, 10.0], [274962, 7052067, 10.0], [274962, 7056617, 10.0]]",275000.0,7044500.0,0.0,279877.12,7048102.47,10.0,2.45,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270512.6731544983,7055590.181451889,273049.59,7046152.12,10.0,1.25,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276842.145966854,7057526.465141348,275000.0,7057840.0,10.0,-1.57,"[[275000, 7058000, 10.0], [275000, 7046000, 10.0]]",274999.9827409846,7046240.037398593,14
275000.0,7044640.0,10.0,1.57,"[[274962, 7044967, 10.0], [275512, 7051517, 10.0], [274962, 7052067, 10.0], [274962, 7056617, 10.0]]",275000.0,7044500.0,0.0,279869.4,7048108.83,10.0,2.45,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270504.8657897942,7055596.432159493,273052.71,7046161.62,10.0,1.25,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276845.30647380016,7057535.951638784,275000.0,7057830.0,10.0,-1.57,"[[275000, 7058000, 10.0], [275000, 7046000, 10.0]]",274999.9827263335,7046240.0373985665,15
275000.0,7044650.0,10.0,1.57,"[[274962, 7044967, 10.0], [275512, 7051517, 10.0], [274962, 7052067, 10.0], [274962, 7056617, 10.0]]",275000.0,7044500.0,0.0,279861.67,7048115.17,10.0,2.46,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270497.03800449794,7055602.671618629,273055.84,7046171.12,10.0,1.25,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276848.4683923614,7057545.440998051,275000.0,7057820.0,10.0,-1.57,"[[275000, 7058000, 10.0], [275000, 7046000, 10.0]]",274999.9827116574,7046240.03739854,16
275000.01,7044660.0,10.0,1.57,"[[274962, 7044967, 10.0], [275512, 7051517, 10.0], [274962, 7052067, 10.0], [274962, 7056617, 10.0]]",275000.0,7044500.0,0.0,279853.94,7048121.51,10.0,2.46,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270489.23353259405,7055608.918457,273062.09,7046190.12,10.0,1.25,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276854.7910509005,7057564.4167761495,275000.0,7057820.0,10.0,-1.57,"[[275000, 7058000, 10.0], [275000, 7046000, 10.0]]",274999.9827116574,7046240.03739854,17
275000.02,7044670.0,10.0,1.57,"[[274962, 7044967, 10.0], [275512, 7051517, 10.0], [274962, 7052067, 10.0], [274962, 7056617, 10.0]]",275000.0,7044500.0,0.0,279853.94,7048121.51,10.0,2.46,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270489.23353259405,7055608.918457,273062.09,7046190.12,10.0,1.25,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276854.7910509005,7057564.4167761495,275000.0,7057820.0,10.0,-1.57,"[[275000, 7058000, 10.0], [275000, 7046000, 10.0]]",274999.9827116574,7046240.03739854,18
